"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"10/01/2024 05:00:00 - 10/01/2024 06:00:00","BZN|IT-North","Without Sequence","99.50","",""
"10/01/2024 06:00:00 - 10/01/2024 07:00:00","BZN|IT-North","Without Sequence","108.96","",""
"10/01/2024 07:00:00 - 10/01/2024 08:00:00","BZN|IT-North","Without Sequence","120.00","",""
"10/01/2024 08:00:00 - 10/01/2024 09:00:00","BZN|IT-North","Without Sequence","139.20","",""
"10/01/2024 09:00:00 - 10/01/2024 10:00:00","BZN|IT-North","Without Sequence","130.39","",""
"10/01/2024 10:00:00 - 10/01/2024 11:00:00","BZN|IT-North","Without Sequence","117.47","",""
"10/01/2024 11:00:00 - 10/01/2024 12:00:00","BZN|IT-North","Without Sequence","109.13","",""
"10/01/2024 12:00:00 - 10/01/2024 13:00:00","BZN|IT-North","Without Sequence","104.20","",""
"10/01/2024 13:00:00 - 10/01/2024 14:00:00","BZN|IT-North","Without Sequence","106.54","",""
"10/01/2024 14:00:00 - 10/01/2024 15:00:00","BZN|IT-North","Without Sequence","110.20","",""
"10/01/2024 15:00:00 - 10/01/2024 16:00:00","BZN|IT-North","Without Sequence","119.77","",""
"10/01/2024 16:00:00 - 10/01/2024 17:00:00","BZN|IT-North","Without Sequence","133.14","",""
"10/01/2024 17:00:00 - 10/01/2024 18:00:00","BZN|IT-North","Without Sequence","143.79","",""
"10/01/2024 18:00:00 - 10/01/2024 19:00:00","BZN|IT-North","Without Sequence","140.00","",""
"10/01/2024 19:00:00 - 10/01/2024 20:00:00","BZN|IT-North","Without Sequence","132.15","",""
"10/01/2024 20:00:00 - 10/01/2024 21:00:00","BZN|IT-North","Without Sequence","120.00","",""
"10/01/2024 21:00:00 - 10/01/2024 22:00:00","BZN|IT-North","Without Sequence","109.13","",""
"10/01/2024 22:00:00 - 10/01/2024 23:00:00","BZN|IT-North","Without Sequence","105.37","",""
"10/01/2024 23:00:00 - 11/01/2024 00:00:00","BZN|IT-North","Without Sequence","103.62","",""
"11/01/2024 00:00:00 - 11/01/2024 01:00:00","BZN|IT-North","Without Sequence","91.75","",""
"11/01/2024 01:00:00 - 11/01/2024 02:00:00","BZN|IT-North","Without Sequence","88.60","",""
"11/01/2024 02:00:00 - 11/01/2024 03:00:00","BZN|IT-North","Without Sequence","87.25","",""
"11/01/2024 03:00:00 - 11/01/2024 04:00:00","BZN|IT-North","Without Sequence","82.38","",""
"11/01/2024 04:00:00 - 11/01/2024 05:00:00","BZN|IT-North","Without Sequence","83.61","",""
"11/01/2024 05:00:00 - 11/01/2024 06:00:00","BZN|IT-North","Without Sequence","90.35","",""
"11/01/2024 06:00:00 - 11/01/2024 07:00:00","BZN|IT-North","Without Sequence","103.10","",""
"11/01/2024 07:00:00 - 11/01/2024 08:00:00","BZN|IT-North","Without Sequence","116.89","",""
"11/01/2024 08:00:00 - 11/01/2024 09:00:00","BZN|IT-North","Without Sequence","141.00","",""
"11/01/2024 09:00:00 - 11/01/2024 10:00:00","BZN|IT-North","Without Sequence","129.16","",""
"11/01/2024 10:00:00 - 11/01/2024 11:00:00","BZN|IT-North","Without Sequence","113.65","",""
"11/01/2024 11:00:00 - 11/01/2024 12:00:00","BZN|IT-North","Without Sequence","106.48","",""
"11/01/2024 12:00:00 - 11/01/2024 13:00:00","BZN|IT-North","Without Sequence","99.38","",""
"11/01/2024 13:00:00 - 11/01/2024 14:00:00","BZN|IT-North","Without Sequence","99.00","",""
"11/01/2024 14:00:00 - 11/01/2024 15:00:00","BZN|IT-North","Without Sequence","105.98","",""
"11/01/2024 15:00:00 - 11/01/2024 16:00:00","BZN|IT-North","Without Sequence","113.71","",""
"11/01/2024 16:00:00 - 11/01/2024 17:00:00","BZN|IT-North","Without Sequence","120.00","",""
"11/01/2024 17:00:00 - 11/01/2024 18:00:00","BZN|IT-North","Without Sequence","128.75","",""
"11/01/2024 18:00:00 - 11/01/2024 19:00:00","BZN|IT-North","Without Sequence","136.72","",""
"11/01/2024 19:00:00 - 11/01/2024 20:00:00","BZN|IT-North","Without Sequence","132.31","",""
"11/01/2024 20:00:00 - 11/01/2024 21:00:00","BZN|IT-North","Without Sequence","117.93","",""
"11/01/2024 21:00:00 - 11/01/2024 22:00:00","BZN|IT-North","Without Sequence","107.19","",""
