Capital Investment Budgeted,Construction Complexity,Design Complexity,Operative + Fuel Costs,Design Maturity,Licensing Status,Supplier Availbility,Discharge Burnup,Load following Capabilities,Net Power Output,Thermal Efficiency,Electricity Market Benefit,GHGe Benefit,Nuclear Waste,Percived Safety
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.639,0.057,0.057,0.072,0.001,0.001,0.001,0.005,0.049,0.071,0.037,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.535,0.206,0.07,0.06,0.001,0.001,0.001,0.004,0.041,0.042,0.031,0.001,0.001,0.006,0.001
0.493,0.044,0.289,0.055,0.001,0.001,0.001,0.003,0.037,0.039,0.028,0.001,0.001,0.005,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.644,0.057,0.057,0.073,0.001,0.001,0.014,0.005,0.049,0.051,0.037,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.02,0.068,0.001,0.015,0.001,0.001,0.001,0.023,0.001,0.619,0.246,0.001,0.001,0.001,0.001
0.564,0.052,0.111,0.064,0.001,0.001,0.001,0.004,0.043,0.045,0.032,0.001,0.001,0.08,0.001
0.625,0.056,0.056,0.071,0.001,0.001,0.001,0.004,0.048,0.05,0.036,0.001,0.001,0.048,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.65,0.058,0.058,0.073,0.006,0.001,0.001,0.005,0.05,0.052,0.037,0.001,0.001,0.007,0.001
0.629,0.056,0.056,0.071,0.001,0.001,0.015,0.005,0.048,0.059,0.036,0.001,0.001,0.019,0.001
0.642,0.057,0.057,0.073,0.017,0.001,0.001,0.005,0.049,0.051,0.037,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.527,0.054,0.056,0.059,0.024,0.003,0.02,0.004,0.04,0.111,0.03,0.018,0.02,0.006,0.028
0.467,0.169,0.199,0.052,0.001,0.001,0.001,0.003,0.035,0.037,0.027,0.001,0.001,0.005,0.001
0.169,0.013,0.013,0.016,0.001,0.001,0.001,0.023,0.014,0.192,0.553,0.001,0.001,0.002,0.001
0.521,0.046,0.046,0.059,0.168,0.018,0.018,0.004,0.04,0.041,0.03,0.001,0.001,0.005,0.001
0.617,0.055,0.055,0.07,0.001,0.056,0.001,0.004,0.047,0.049,0.036,0.001,0.001,0.007,0.001
0.638,0.057,0.057,0.072,0.001,0.023,0.001,0.005,0.049,0.051,0.037,0.001,0.001,0.007,0.001
0.607,0.054,0.124,0.069,0.001,0.001,0.001,0.004,0.046,0.048,0.035,0.001,0.001,0.006,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.537,0.048,0.219,0.06,0.001,0.001,0.001,0.004,0.041,0.042,0.031,0.001,0.007,0.006,0.001
0.367,0.032,0.032,0.041,0.008,0.001,0.002,0.002,0.028,0.077,0.021,0.023,0.338,0.028,0.001
0.416,0.037,0.037,0.047,0.203,0.023,0.023,0.003,0.031,0.087,0.024,0.013,0.001,0.055,0.001
0.593,0.053,0.053,0.067,0.001,0.001,0.001,0.004,0.045,0.061,0.034,0.001,0.001,0.084,0.001
0.618,0.055,0.055,0.07,0.001,0.001,0.001,0.004,0.047,0.103,0.036,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.64,0.057,0.076,0.072,0.001,0.001,0.001,0.005,0.049,0.051,0.037,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.596,0.053,0.053,0.067,0.009,0.001,0.001,0.004,0.045,0.047,0.034,0.074,0.001,0.013,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.473,0.038,0.038,0.047,0.001,0.001,0.001,0.01,0.039,0.09,0.256,0.001,0.001,0.002,0.001
0.476,0.032,0.032,0.038,0.052,0.015,0.015,0.005,0.037,0.155,0.02,0.017,0.018,0.032,0.055
